id,user_desktop,placa_mae,cpu_count,clock_1,clock_2,cpu_media_temperatura,cpu_media_percent,cpu_media_clock,memory_load,memory_use,memory_available,video_card
226,HSL017,"HP 218B",2,2394.6,2394.6,70.5,51.2,2394.6,89.0,5.9,0.7,NULL
227,HSL017,"HP 218B",2,2394.6,2394.6,70.5,42.8,2394.6,88.8,5.9,0.7,NULL
228,HSL017,"HP 218B",2,2394.6,2394.6,70.5,27.75,2394.6,88.8,5.9,0.7,NULL
229,HSL017,"HP 218B",2,2394.6,2394.6,70.5,50.6,2394.6,89.0,5.9,0.7,NULL
230,HSL017,"HP 218B",2,2394.6,1197.3,71.5,65.05,1795.95,89.1,5.9,0.7,NULL
231,HSL017,"HP 218B",2,2394.6,2394.6,72.0,66.0,2394.6,89.1,5.9,0.7,NULL
232,HSL017,"HP 218B",2,2394.6,2394.6,70.5,47.1,2394.6,89.1,5.9,0.7,NULL
233,HSL017,"HP 218B",2,2394.6,2394.6,72.0,49.2,2394.6,89.0,5.9,0.7,NULL
234,HSL017,"HP 218B",2,2394.6,2394.6,71.0,46.1,2394.6,89.1,5.9,0.7,NULL
235,HSL017,"HP 218B",2,2394.6,2394.6,71.5,59.6,2394.6,89.3,5.9,0.7,NULL
236,HSL017,"HP 218B",2,2394.6,2394.6,70.5,55.5,2394.6,89.1,5.9,0.7,NULL
237,HSL017,"HP 218B",2,2394.6,2394.6,70.5,44.35,2394.6,89.0,5.9,0.7,NULL
238,HSL017,"HP 218B",2,2394.6,2394.6,71.5,39.45,2394.6,88.9,5.9,0.7,NULL
239,HSL017,"HP 218B",2,2394.6,2394.6,72.5,61.9,2394.6,89.0,5.9,0.7,NULL
240,HSL017,"HP 218B",2,2394.6,2394.6,72.0,54.1,2394.6,89.0,5.9,0.7,NULL
241,HSL017,"HP 218B",2,2394.6,2394.6,73.0,55.7,2394.6,89.1,5.9,0.7,NULL
242,HSL017,"HP 218B",2,2394.6,2394.6,73.5,78.9,2394.6,89.8,6.0,0.7,NULL
243,HSL017,"HP 218B",2,2394.6,2394.6,73.0,58.0,2394.6,88.7,5.9,0.8,NULL
244,HSL017,"HP 218B",2,2394.6,2394.6,74.0,91.2,2394.6,88.5,5.9,0.8,NULL
245,HSL017,"HP 218B",2,2394.6,2394.6,73.5,72.3,2394.6,88.8,5.9,0.7,NULL
246,HSL017,"HP 218B",2,2394.6,2394.6,71.5,42.2,2394.6,88.7,5.9,0.8,NULL
247,HSL017,"HP 218B",2,2394.6,2394.6,71.5,49.4,2394.6,88.5,5.9,0.8,NULL
248,HSL017,"HP 218B",2,2394.6,2394.6,73.5,41.4,2394.6,88.2,5.9,0.8,NULL
